Frequency,Aria,Composer,Language,Opera,Voice Type,Artist Category
45,"Ach, ich fühl's",Mozart,German,Die Zauberflöte,Soprano,Filene
25,Ain't it a pretty night,Floyd,English,Susannah,Soprano,Filene
24,Jewel Song,Gounod,French,Faust,Soprano,Filene
23,No word from Tom,Stravinsky,English,The Rake's Progress,Soprano,Filene
21,Embroidery Aria,Britten,English,Peter Grimes,Soprano,Filene
20,Caro nome,Verdi,Italian,Rigoletto,Soprano,Filene
17,Deh vieni non tardar ,Mozart ,Italian ,Le nozze di Figaro ,Soprano,Filene
17,Donde lieta uscì,Puccini,Italian,La bohème,Soprano,Filene
17,Je dis que rien ne m'epouvante,Bizet,French,Carmen,Soprano,Filene
17,Je suis encor tout étourdie,Massenet,French,Manon,Soprano,Filene
17,Je veux vivre,Gounod,French,Roméo et Juliette,Soprano,Filene
17,Regnava nel silencio,Donizetti,Italian,Lucia di Lammermoor,Soprano,Filene
16,Dove sono,Mozart,Italian,Le nozze di Figaro,Soprano,Filene
16,My darling Jim,Cipullo,English,Glory Denied,Soprano,Filene
15,Non mi dir,Mozart,Italian,Don Giovanni,Soprano,Filene
15,Presentation of the Rose,Strauss,German,Der Rosenkavalier,Soprano,Filene
14,Come scoglio,Mozart,Italian,Così fan tutte,Soprano,Filene
14,Dich teure Halle,Wagner,German,Tannhäuser,Soprano,Filene
13,Csárdás,"Strauss, J",German ,Die Fledermaus,Soprano,Filene
13,Mi tradì quell'alma ingrata,Mozart,Italian,Don Giovanni,Soprano,Filene
13,Tu che di gel sei cinta,Puccini,Italian,Turandot,Soprano,Filene
12,Depuis le jour,Charpentier,French,Louise,Soprano,Filene
12,"Si, mi chiamano Mimì",Puccini,Italian,La bohème,Soprano,Filene
12,Song to the Moon,Dvořák,Czech,Rusalka,Soprano,Filene
11,Chi il bel sogno,Puccini,Italian,La Rondine,Soprano,Filene
11,Durch Zärtlichkeit und Schmeicheln,Mozart,German,Die Entführung aus dem Serail,Soprano,Filene
11,Gluck das mir verblieb,Korngold,German,Die tote Stadt,Soprano,Filene
11,Quando m'en vo',Puccini,Italian,La bohème,Soprano,Filene
10,"Das war sehr gut, Mandryka",Strauss,German,Arabella,Soprano,Filene
10,"Prendi, per me sei libero",Donizetti,Italian,L'elisir d'amore,Soprano,Filene
10,Quel guardo il cavaliere,Donizetti,Italian,Don Pasquale,Soprano,Filene
10,"Robert, toi que j'aime",Meyerbeer,French ,Robert le diable,Soprano,Filene
10,Sempre libera,Verdi,Italian,La traviata,Soprano,Filene
9,"Ah, fuggi il traditor",W. A. Mozart,Italian,Don Giovanni,Soprano,Filene
9,Emily's Goodbye Aria ,Rorem,English,Our Town,Soprano,Filene
9,Glitter and Be Gay,Bernstein,English,Candide,Soprano,Filene
9,O zittre nicht,Mozart,German,Die Zauberflöte,Soprano,Filene
9,Stridono lassù,Leoncavallo,Italian,Pagliacci,Soprano,Filene
8,Ach ich liebte,Mozart,German,Die Entführung aus dem Serail,Soprano,Filene
8,Chacun le sait,Donizetti,French,La fille du régiment,Soprano,Filene
8,I want magic!,Previn,English,A Streetcar Named Desire ,Soprano,Filene
8,"Il est doux, il est bon",Massenet,French,Hérodiade,Soprano,Filene
8,Tacea la notte placida,Verdi,Italian,Il Trovatore,Soprano,Filene
7,Adieu notre petite table,Massenet,French,Manon,Soprano,Filene
7,Ah! douce enfant,Massenet,French,Cendrillon,Soprano,Filene
7,"Amour, ranime mon courage",Gounod,French,Roméo et Juliette,Soprano,Filene
7,Come in quest ora bruna ,Verdi,Italian ,Simon Boccanegra,Soprano,Filene
7,Comme autrefois,Bizet,French,Les pêcheurs de perles,Soprano,Filene
7,Der Hölle Rache,Mozart,German,Die Zauberflöte,Soprano,Filene
7,Oh! quante volte,Bellini,Italian ,I Capuleti e i Montecchi,Soprano,Filene
7,"Padre, germani, addio",Mozart,Italian,Idomeneo,Soprano,Filene
6,Da tempeste,Handel,Italian,Giulio Cesare,Soprano,Filene
6,Down You Go,Dove,English,Flight,Soprano,Filene
6,Du gai soleil ,Massenet ,French ,Werther ,Soprano,Filene
6,How beautiful it is,Britten,English,The Turn of the Screw ,Soprano,Filene
6,"Non, monsieur mon mari",Poulenc,French,Les mamelles de Tirésias,Soprano,Filene
6,Silver Aria,Moore,English,The Ballad of Baby Doe,Soprano,Filene
6,Sul fil d'un soffio etesio,Verdi,Italian,Falstaff,Soprano,Filene
6,Vissi d'arte,Puccini,Italian,Tosca,Soprano,Filene
5,"D'Oreste, d'Ajace",Mozart,Italian,Idomeneo,Soprano,Filene
5,Do not utter a word,Barber,English,Vanessa,Soprano,Filene
5,Du bist der Lenz,Wagner,German,Die Walküre,Soprano,Filene
5,Einsam in trüben Tagen,Wagner,German,Lohengrin,Soprano,Filene
5,Fire aria,Ravel,French,L'enfant et les sortilèges,Soprano,Filene
5,Gavotte (Obéissons),Massenet,French,Manon,Soprano,Filene
5,I can smell the sea air,Previn,English ,A Streetcar Named Desire,Soprano,Filene
5,"Joy Beyond Measure, Mother",Adamo,English,Little Women,Soprano,Filene
5,Mein Herr Marquis,"Strauss, J",German,Die Fledermaus,Soprano,Filene
5,"Morrò, ma prima in grazia",Verdi,Italian,Un ballo in maschera,Soprano,Filene
5,Or sai chi l'onore,Mozart,Italian,Don Giovanni,Soprano,Filene
5,Par le rang... Salut à la France!,Donizetti,French,La fille du régiment,Soprano,Filene
5,Tornami a vagheggiar,Handel,Italian,Alcina,Soprano,Filene
5,Wo bin ich?,Humperdinck,German,Hänsel und Gretel,Soprano,Filene
4,"Ah, non credea… Ah, non giunge",Bellini,Italian,La Sonnambula,Soprano,Filene
4,Air de Lia,Debussy,French,L'enfant prodigue,Soprano,Filene
4,"Batti, batti o bel Masetto",Mozart,Italian,Don Giovanni,Soprano,Filene
4,Bel raggio lusinghier,Rossini,Italian,Semiramide ,Soprano,Filene
4,But you do not know this man,Bolcom,English,A View from the Bridge,Soprano,Filene
4,Divinités du Styx,Gluck,French ,Alceste,Soprano,Filene
4,Ebben! Ne andrò lontana,Catalani,Italian,La Wally,Soprano,Filene
4,Es gibt ein Reich,Strauss,German,Ariadne auf Naxos,Soprano,Filene
4,Großmächtige Prinzessin,Strauss,German,Ariadne auf Naxos,Soprano,Filene
4,Io son l'umile ancella,Cilea,Italian,Adriana Lecouvreur,Soprano,Filene
4,Les oiseaux dans la charmille,Offenbach,French,Les contes d'Hoffmann,Soprano,Filene
4,"Pace, pace mio Dio",Verdi,Italian,La forza del destino,Soprano,Filene
4,Piangerò la sorte mia,Handel,Italian,Guilio Cesare,Soprano,Filene
4,"Pleurez, pleurez mes yeux",Massenet,French,Le Cid,Soprano,Filene
4,"Porgi, amor",Mozart,Italian,Le nozze di Figaro,Soprano,Filene
4,"Qui la voce sua soave… Vien, diletto",Bellini,Italian,I Puritani,Soprano,Filene
4,"Signore, ascolta",Puccini,Italian,Turandot,Soprano,Filene
4,To this we've come,Menotti,English,The Consul,Soprano,Filene
4,Trees on the Mountain,Floyd,English,Susannah,Soprano,Filene
4,Un bel dì vedremo,Puccini,Italian,Madama Butterfly,Soprano,Filene
4,Utzh polnoch blizitsya,Tchaikovsky,Russian,Pique Dame,Soprano,Filene
4,Willow Song,Moore,English,The Ballad of Baby Doe,Soprano,Filene
3,Atchevo eta prezhde ne znala,Tchaikovsky,Russian,Iolanta,Soprano,Filene
3,Bester Jüngling,Mozart,German,Der Schauspieldirektor,Soprano,Filene
3,"Come, now a roundel",Britten,English,A Midsummer Night's Dream,Soprano,Filene
3,D'amor sull'ali rosée,Verdi,Italian ,Il Trovatore,Soprano,Filene
3,Dearest Mama,Moore,English ,Ballade of Baby Doe,Soprano,Filene
3,Dis-moi que je suis belle,Massenet,French,Thaïs,Soprano,Filene
3,Egli non riede ancora… Non so le tetre immagini,Verdi,Italian,Il corsaro,Soprano,Filene
3,I am the wife of Mao Tse-tung,Adams,English,Nixon in China,Soprano,Filene
3,In quelle trine morbide,Puccini,Italian,Manon Lescaut,Soprano,Filene
3,Letter Scene,Tchaikovsky,Russian,Eugene Onegin,Soprano,Filene
3,Martern aller Arten,Mozart,German,Die Entführung aus dem Serail,Soprano,Filene
3,Meine Lippen sie küssen so heiss,Lehàr,German,Giuditta,Soprano,Filene
3,Nun eilt herbei,Nicolai,German,Die lustigen Weiber von Windsor,Soprano,Filene
3,O luce di quest'anima,Donizetti,Italian,Linda di Chamounix,Soprano,Filene
3,Ritorna vincitor,Verdi,Italian,Aida,Soprano,Filene
3,"Sola, perduta, abbandonata",Puccini,Italian,Manon Lescaut,Soprano,Filene
3,Sombre forêt,Rossini,French,Guillaume Tell,Soprano,Filene
3,"Steal me, sweet thief",Menotti,English,The Old Maid and the Thief,Soprano,Filene
3,"Tu puniscimi, o Signore",Verdi,Italian,Luisa Miller,Soprano,Filene
2,Abscheulicher!,Beethoven,German,Fidelio,Soprano,Filene
2,"Addio, del passato",Verdi,Italian,La Traviata,Soprano,Filene
2,After you hear me out,Cipullo,English,Glory Denied,Soprano,Filene
2,Ardon gl'incensi… Spargi d'amaro pianto,Donizetti,Italian,Lucia di Lammermoor,Soprano,Filene
2,Be Kind and Courteous,Britten,English,A Midsummer Night's Dream,Soprano,Filene
2,Che fiero momento,Gluck,Italian,Orfeo ed Euridice,Soprano,Filene
2,Col sorriso d'innocenza.,Bellini,Italian,il pirata,Soprano,Filene
2,Die Wiener Herrn,Strauss,German,Arabella,Soprano,Filene
2,Elle a fui,Offenbach,French,Les contes d'Hoffmann,Soprano,Filene
2,Have Peace Jo,Adamo,English,Little Women,Soprano,Filene
2,Kommt ein schlanker Bursch gegangen,Weber,German,Der Freischütz,Soprano,Filene
2,L'altra notte in fondo al mare,Boito,Italian,Mefistofele,Soprano,Filene
2,"Mes filles, voilà que s'achève",Poulenc,French,Dialogues des Carmelites,Soprano,Filene
2,My man's gone now,Gershwin,English,Porgy and Bess,Soprano,Filene
2,O wär' ich schon mit dir vereint,Beethoven,German,Fidelio,Soprano,Filene
2,Ophelie's Mad Scene,Thomas,French,Hamlet,Soprano,Filene
2,Per pietà,Mozart ,Italian ,Così fan tutte,Soprano,Filene
2,Piangete voi... Al dolce guidami,Donizetti,Italian,Anna Bolena,Soprano,Filene
2,S'altro che lacrime,Mozart,Italian,La clemenza di Tito,Soprano,Filene
2,Sein wir wieder gut ,Strauss ,German ,Ariadne auf Naxos ,Soprano,Filene
2,Senza mamma,Puccini,Italian,Suor Angelica,Soprano,Filene
2,She must stay,Corigliano,English,The Ghosts of Versailles,Soprano,Filene
2,Summertime,Gershwin,English,Porgy and Bess,Soprano,Filene
2,Una voce poco fa ,Rossini ,Italian ,Il barbiere di Siviglia ,Soprano,Filene
2,Und ob die Wolke,Weber,German,Der Freischütz,Soprano,Filene
2,Volta la terrea,Verdi,Italian,Un ballo in maschera,Soprano,Filene
1,Ah! Snow falls,Henze,English,Elegy for Young Lovers,Soprano,Filene
1,Al destin che la minaccia,Mozart,Italian,"Mitridate, re di Ponto",Soprano,Filene
1,Al dolce guidami,Donizetti,Italian,Anna Bolena,Soprano,Filene
1,At the Haunted End of the Day,Walton,English,Troilus and Cressida,Soprano,Filene
1,Bea's Aria,Heggie,English,Three Decembers,Soprano,Filene
1,Bell Song,Delibes,French,Lakme,Soprano,Filene
1,Best Thing of All,Blitzstein,English,Regina,Soprano,Filene
1,Black Swan,Menotti,English,The Medium,Soprano,Filene
1,Care compagne,Bellini,Italian,La Sonnambula,Soprano,Filene
1,Chers Corinthiens,Milhaud,French,Médée,Soprano,Filene
1,Com'è bello,Donizetti,Italian,Lucrezia Borgia,Soprano,Filene
1,Come per me sereno,Bellini,Italian,La sonnambula,Soprano,Filene
1,"Cristóbal, Cristóbal",Catán,Spanish,Florencia en el Amazonas,Soprano,Filene
1,De España vengo,Luna,Spanish,El Niño Judío ,Soprano,Filene
1,Deh se piacer mi vuoi ,Mozart ,Italian ,La Clemenza di Tito ,Soprano,Filene
1,Der Männer sippe,Wagner ,German ,Die Walküre ,Soprano,Filene
1,Ecco l'orrido campo... Ma dall'arido stelo divulsa,Verdi,Italian,Un ballo in maschera,Soprano,Filene
1,Einst träumte meiner sel'gen Base,Weber,German,Der Freischütz,Soprano,Filene
1,En vain j'espère,Meyerbeer,French,Robert le diable,Soprano,Filene
1,"Enfin, je suis ici! ",Massenet,French ,Cendrillon ,Soprano,Filene
1,Entweihte Götter,Wagner,German,Lohengrin,Soprano,Filene
1,Give me my robe,Barber,English,Antony and Cleopatra,Soprano,Filene
1,Give me nobody without your soul,Still,English,Blue Steel,Soprano,Filene
1,Hier lacht die goldnes Frühlingssonne,Marschner,German,Der Vampyr ,Soprano,Filene
1,His name is Jan,Mazzoli,English,Breaking the Waves,Soprano,Filene
1,I aways carry a handmirror,Argento,English,Postcard from Morocco,Soprano,Filene
1,I remind myself that grief is passion ,Crean ,English ,The Times are Nightfall ,Soprano,Filene
1,I was told there was once,Aucoin,English,Crossing,Soprano,Filene
1,I'm told I'm a citizen,Bond,English,Mrs. President,Soprano,Filene
1,Il m'en souvient,Berlioz,French,Béatrice et Bénédict,Soprano,Filene
1,Il tuo sangue o il mio amore,Puccini,Italian,Tosca,Soprano,Filene
1,Il va venir,Halévy,French,La juive,Soprano,Filene
1,Ist's wahr,Ullmann,German,Der Kaiser von Atlantis,Soprano,Filene
1,"Krystyna, why are you crying",Heggie,English,Out of Darkness,Soprano,Filene
1,L'empio rigor del fato,Handel,Italian,Rodelinda,Soprano,Filene
1,L'ho perduta,Mozart,Italian,Le nozze di Figaro,Soprano,Filene
1,La luce langue,Verdi,Italian,Macbeth,Soprano,Filene
1,"Leise, leise",Weber,German,Die Freischütz,Soprano,Filene
1,Les Grecs ont disparu… Malheureux roi!,Berlioz,Franch ,Les Troyens,Soprano,Filene
1,Lia's Aria,Debussy,French,L'enfant prodigue,Soprano,Filene
1,Lied der Lulu,Berg,German,Lulu,Soprano,Filene
1,Lionnet,Blitzstein,English,Regina,Soprano,Filene
1,"Loved one, beloved",Dun,English,Tea: a mirror of soul,Soprano,Filene
1,Lyudmila's Cavatina,Glinka,Russian,Ruslan i Lyudmila,Soprano,Filene
1,Mary's Aria,Heggie,English,It's a Wonderful Life,Soprano,Filene
1,Mother's Aria,Humperdinck,German,Hänsel und Gretel,Soprano,Filene
1,Myself I shall adore,Handel,English,Semele,Soprano,Filene
1,Nina's Aria,Pasatieri,English,The Seagull,Soprano,Filene
1,Non disperar,Handel,Italian,Giulio Cesare,Soprano,Filene
1,Non mi resta,Mascagni,Italian,L'amico Fritz,Soprano,Filene
1,Non pianger mia compagna,Verdi,Italian ,Don Carlo,Soprano,Filene
1,Non più di fiori,Mozart,Italian,La clemenza di Tito,Soprano,Filene
1,O Dieu Brahma,Bizet,French,Les pêcheurs de perles,Soprano,Filene
1,O malheureuse Iphigénie,Gluck,French,Iphigénie en Tauride,Soprano,Filene
1,O mio babbino caro,Puccini,Italian,Gianni Schicchi,Soprano,Filene
1,O toi qui prolongeas mes jours,Gluck,French,Iphigénie en Tauride,Soprano,Filene
1,"O, ne rydaĭ, moĭ Paolo",Rachmaninoff,Russian,Francesca da Rimini,Soprano,Filene
1,Och jaky zal,Smetana,Czech,The Bartered Bride,Soprano,Filene
1,Oh! That I On Wings Could Rise,Handel,English,Theodora,Soprano,Filene
1,Ombre pallide,Handel,Italian,Alcina,Soprano,Filene
1,Où va la jeune Indoue,Delibes,French,Lakmé,Soprano,Filene
1,Parmi les pleurs,Meyerbeer,French,Les Huguenots,Soprano,Filene
1,Quelle ivresse bonheur suprême,Verdi,French,Jérusalem ,Soprano,Filene
1,Samantha's Aria,Perla,English,Love/Hate,Soprano,Filene
1,Se il padre perdei,Mozart,Italian,Idomeneo,Soprano,Filene
1,Son pochi fiori,Mascagni,Italian,L'amico Fritz,Soprano,Filene
1,Sorry her lot,Sullivan,English ,H.M.S. Pinafore,Soprano,Filene
1,Sur mes genoux,Meyerbeer,French,L'Africaine,Soprano,Filene
1,This is prophetic,Adams,English,Nixon in China,Soprano,Filene
1,Tiger! Wetze nur die Klauen,Mozart,German,Zaide,Soprano,Filene
1,Traft ihr das Schiff,Wagner,German,Der fliegende Holländer,Soprano,Filene
1,Traurigkeit ward mir zum lose,Mozart,German,Die Entführung aus dem Serail,Soprano,Filene
1,Tu che le vanità,Verdi,Italian,Don Carlo,Soprano,Filene
1,"Tu, tu piccolo iddio",Puccini,Italian,Madama Butterfly,Soprano,Filene
1,Tutte le feste al tempio,Verdi,Italian,Rigoletto,Soprano,Filene
1,Tutte nel cor,Mozart,Italian,Idomeneo,Soprano,Filene
1,V’adoro pupille,Handel,Italian,Giulio Cesare,Soprano,Filene
1,Vanne lungi dal mio petto,Handel,Italian,Amadigi di Gaula,Soprano,Filene
1,Veil is Rent,Susa,English,The Dangerous Liaisons,Soprano,Filene
1,Vilja Lied,Lehár,German,Die lustige Witwe,Soprano,Filene
1,What will it be for me?,Blitzstein,English,Regina,Soprano,Filene
1,"Where is the old, warm world?",Harbison,English,The Great Gatsby,Soprano,Filene
1,While I waste these precious hours,Menotti,Italian,Amelia al Ballo,Soprano,Filene
1,Who is there to love me?,Barber,English,A Hand of Bridge,Soprano,Filene
1,Wie umgibst du mich,Strauss ,German,Der Liebe der Danae,Soprano,Filene
1,Wird Philomena Trauern,Weber,German,Abu Hassan,Soprano,Filene
1,Zeffiretti lusinghieri,Mozart,italian,Idomeneo,Soprano,Filene
37,Ach ich fühl's,Mozart,German,Die Zauberflöte,Soprano,Studio
16,Deh vieni non tardar,Mozart,Italian,Le nozze di Figaro,Soprano,Studio
15,Durch Zärtlichkeit,Mozart,German,Die Entführung aus dem Serail,Soprano,Studio
15,Emily's Goodbye Aria,Rorem,English,Our Town,Soprano,Studio
14,Je dis que rien ne m'epouvante,Bizet,French,Carmen,Soprano,Studio
13,Ain't it a pretty night,Floyd,English,Susannah,Soprano,Studio
13,Come scoglio,Mozart,Italian,Così fan tutte,Soprano,Studio
13,Quando m'en vo,Puccini,Italian,La bohème,Soprano,Studio
12,Du gai soleil,Massenet,French,Werther,Soprano,Studio
11,Je suis encor,Massenet,French,Manon,Soprano,Studio
11,Silver Aria,Moore,English,The Ballad of Baby Doe,Soprano,Studio
11,Tornami a vagheggiar,Handel,Italian,Alcina,Soprano,Studio
10,Caro nome,Verdi,Italian ,Rigoletto,Soprano,Studio
10,Quel guardo il cavaliere,Donizetti,Italian,Don Pasquale,Soprano,Studio
9,Chacun le sait,Donizetti,French,La fille du régiment,Soprano,Studio
9,Prendi per me sei libero ,Donizetti,Italian,L'elisir d'amore,Soprano,Studio
8,Chi il bel sogno,Puccini,Italian,La rondine,Soprano,Studio
8,Donde lieta uscì,Puccini,Italian,La bohème,Soprano,Studio
8,Dove sono,Mozart,Italian,Le nozze di Figaro,Soprano,Studio
8,Je veux vivre,Gounod,French,Romèo et Juliette,Soprano,Studio
8,My darling Jim,Cipullo,English,Glory Denied,Soprano,Studio
8,O luce di quest anima,Donizetti,Italian,Linda di Chamounix,Soprano,Studio
8,O wär ich schon mit dir vereint ,Beethoven ,German ,Fidelio ,Soprano,Studio
8,"Padre, germani, addio!",Mozart,Italian,Idomeneo,Soprano,Studio
8,Piangerò la sorte mia,Handel,Italian,Giulio Cesare,Soprano,Studio
7,"Ah, non credea… Ah, non giunge ",Bellini ,Italian ,La sonnambula ,Soprano,Studio
7,Embroidery Aria,Britten,English,Peter Grimes,Soprano,Studio
7,Glitter and be gay,Bernstein,English,Candide,Soprano,Studio
7,"Il est doux, il est bon",Massenet,French,Herodiade,Soprano,Studio
7,No word from Tom,Stravinsky,English,The Rake's Progress,Soprano,Studio
7,Porgi amor,Mozart,Italian,Le nozze di Figaro,Soprano,Studio
6,Dearest Mama,Moore,English,The Ballad of Baby Doe,Soprano,Studio
6,"Glück, das mir verblieb",Korngold,German,Die tote Stadt,Soprano,Studio
6,Jewel Song,Gounod,French ,Faust ,Soprano,Studio
6,"Si, mi chiamano Mimì",Puccini ,Italian ,La bohème ,Soprano,Studio
5,"Adieu, notre petite table",Massenet,French,Manon,Soprano,Studio
5,Be kind and courteous,Britten,English,A Midsummer Night's Dream,Soprano,Studio
5,Comme autrefois,Bizet,French,Les pêcheurs de perles,Soprano,Studio
5,Depuis le jour,Charpentier,French,Louise,Soprano,Studio
5,Fire Aria,Ravel,French,L'enfant et les sortilèges,Soprano,Studio
5,How beautiful it is,Britten,English,Turn of the Screw,Soprano,Studio
5,Presentation of the Rose,Strauss,German,Der Rosenkavalier,Soprano,Studio
5,Sul fil d'un soffio etesio,Verdi,Italian,Falstaff,Soprano,Studio
5,Willow Song,Moore,English ,The Ballad of Baby Doe ,Soprano,Studio
5,Wo bin ich?,Humperdinck,German,Hänsel und Gretel,Soprano,Studio
4,Air de Lia,Debussy,French,L'enfant prodigue,Soprano,Studio
